date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,CalFresh,Electronic Benefit Transfer
2018-01-01,53.0,28.0,28.0,65.0,49.0
2018-02-01,62.5,41.0,0.0,50.0,39.5
2018-03-01,57.0,30.0,0.0,54.0,49.0
2018-04-01,51.0,33.0,10.0,48.0,34.0
2018-05-01,64.0,31.0,24.0,55.0,40.0
2018-06-01,72.0,26.0,0.0,47.0,59.0
2018-07-01,65.0,49.0,0.0,64.0,46.0
2018-08-01,42.0,89.0,0.0,72.0,42.0
2018-09-01,46.0,70.0,0.0,72.0,23.0
2018-10-01,49.0,34.0,0.0,56.0,28.0
2018-11-01,49.0,57.0,0.0,49.0,28.0
2018-12-01,68.0,50.0,0.0,38.0,42.0
2019-01-01,92.30769230769232,56.578947368421055,0.0,53.6231884057971,61.0
2019-02-01,62.82051282051283,48.026315789473685,0.0,52.173913043478265,34.0
2019-03-01,51.282051282051285,46.05263157894737,27.0,56.52173913043478,32.0
2019-04-01,43.58974358974359,32.89473684210527,0.0,56.52173913043478,32.0
2019-05-01,66.66666666666667,32.89473684210527,26.0,82.6086956521739,30.0
2019-06-01,64.1025641025641,34.21052631578948,0.0,88.40579710144928,37.0
2019-07-01,69.23076923076924,39.47368421052632,0.0,85.5072463768116,34.0
2019-08-01,56.410256410256416,38.15789473684211,0.0,76.81159420289855,40.0
2019-09-01,46.15384615384616,59.86842105263158,0.0,86.23188405797102,46.5
2019-10-01,46.15384615384616,69.73684210526316,0.0,76.81159420289855,37.0
2019-11-01,61.53846153846155,92.10526315789474,0.0,56.52173913043478,37.0
2019-12-01,58.97435897435898,60.526315789473685,0.0,56.52173913043478,43.0
2020-01-01,22.0,0.0,22.0,79.41234862021045,33.333333333333336
2020-02-01,18.0,42.51012145748989,0.0,47.64740917212627,26.666666666666668
2020-03-01,42.0,151.82186234817817,0.0,89.33889219773675,33.333333333333336
2020-04-01,45.0,151.82186234817817,20.0,133.0156839388525,106.66666666666669
2020-05-01,43.0,76.92307692307693,0.0,119.11852293031566,320.0
2020-06-01,38.0,85.02024291497978,0.0,119.11852293031566,200.0
2020-07-01,23.0,80.97165991902835,0.0,79.41234862021045,146.66666666666669
2020-08-01,27.0,78.94736842105264,0.0,97.2801270597578,120.0
2020-09-01,20.0,50.60728744939272,18.0,73.45642247369466,80.0
2020-10-01,29.0,56.68016194331985,0.0,83.38296605122096,106.66666666666669
2020-11-01,32.0,68.8259109311741,0.0,113.16259678379988,120.00000000000001
2020-12-01,35.0,42.51012145748989,0.0,129.04506650784197,140.0
2021-01-01,35.0,33.0,0.0,104.10765215454416,15.0
2021-02-01,33.5,21.0,0.0,96.8443275856225,14.0
2021-03-01,27.0,13.0,0.0,99.26543577526304,15.0
2021-04-01,27.0,18.0,0.0,84.73878663741968,15.0
2021-05-01,28.0,12.0,0.0,79.89657025813855,15.0
2021-06-01,30.0,13.0,0.0,118.63430129238756,16.0
2021-07-01,32.0,8.0,0.0,121.05540948202813,21.0
2021-08-01,40.0,10.0,0.0,130.73984224059035,21.0
2021-09-01,31.0,32.0,0.0,154.95092413699598,20.0
2021-10-01,38.0,37.0,0.0,169.47757327483936,22.0
2021-11-01,36.0,21.0,0.0,121.05540948202813,30.0
2021-12-01,32.0,19.0,0.0,87.15989482706024,25.0
2022-01-01,33.48837209302326,18.0,0.0,54.0,25.0
2022-02-01,41.674418604651166,29.0,20.271186440677965,73.0,20.0
2022-03-01,36.46511627906977,19.0,0.0,65.0,17.0
2022-04-01,32.0,19.0,0.0,47.0,15.0
2022-05-01,36.46511627906977,17.0,35.08474576271187,53.0,18.0
2022-06-01,40.93023255813954,28.0,0.0,67.0,23.0
2022-07-01,47.627906976744185,29.0,0.0,68.0,21.0
2022-08-01,43.16279069767442,26.0,0.0,70.0,20.0
2022-09-01,42.41860465116279,37.0,0.0,75.0,19.0
2022-10-01,44.65116279069768,25.0,0.0,65.0,25.0
2022-11-01,46.13953488372093,25.0,0.0,75.0,32.0
2022-12-01,42.41860465116279,29.0,0.0,67.0,31.0
2023-01-01,37.17948717948718,64.03371065025202,0.0,156.36323724761965,32.0
2023-02-01,34.20512820512821,50.60728744939272,0.0,184.10510192058445,19.5
2023-03-01,40.15384615384615,84.6897463438817,0.0,186.6270896181267,20.0
2023-04-01,34.94871794871795,95.01776419069654,0.0,163.9292003402464,17.0
2023-05-01,32.717948717948715,101.21457489878544,0.0,179.06112652549993,18.0
2023-06-01,38.66666666666667,86.75534991324466,0.0,163.9292003402464,18.0
2023-07-01,36.43589743589744,128.06742130050404,0.0,163.9292003402464,20.0
2023-08-01,39.41025641025641,99.14897132942248,0.0,181.58311422304217,26.0
2023-09-01,31.97435897435897,130.133024869867,0.0,171.49516343287317,22.0
2023-10-01,28.25641025641025,101.21457489878544,0.0,148.7972741549929,17.0
2023-11-01,31.23076923076924,136.3298355779559,0.0,158.88522494516192,15.0
2023-12-01,29.0,90.8865570519706,0.0,158.88522494516192,12.0
2024-01-01,32.717948717948715,101.21457489878544,0.0,166.45118803778868,16.0
2024-02-01,32.717948717948715,88.82095348260764,0.0,181.58311422304217,16.0
