date,2020-01-01,2021-01-01,2022-01-01
2018-12-30,50.0,42.0,42
2019-01-06,76.0,64.0,64
2019-01-13,100.0,84.0,84
2019-01-20,72.0,61.0,61
2019-01-27,32.0,27.0,27
2019-02-03,38.0,32.0,32
2019-02-10,31.0,26.0,26
2019-02-17,43.0,36.0,36
2019-02-24,46.0,39.0,39
2019-03-03,49.0,41.0,41
2019-03-10,43.0,36.0,36
2019-03-17,31.0,26.0,26
2019-03-24,28.0,24.0,24
2019-03-31,46.0,39.0,39
2019-04-07,26.0,22.0,22
2019-04-14,34.0,28.0,28
2019-04-21,44.0,37.0,37
2019-04-28,43.0,36.0,36
2019-05-05,41.0,34.0,34
2019-05-12,42.0,35.0,35
2019-05-19,41.0,35.0,35
2019-05-26,39.0,33.0,33
2019-06-02,58.0,49.0,49
2019-06-09,44.0,37.0,37
2019-06-16,50.0,42.0,42
2019-06-23,40.0,34.0,34
2019-06-30,34.0,28.0,28
2019-07-07,50.0,42.0,42
2019-07-14,42.0,36.0,36
2019-07-21,74.0,62.0,62
2019-07-28,43.0,37.0,37
2019-08-04,52.0,44.0,44
2019-08-11,42.0,35.0,35
2019-08-18,43.0,37.0,37
2019-08-25,45.0,38.0,38
2019-09-01,43.0,36.0,36
2019-09-08,43.0,36.0,36
2019-09-15,37.0,31.0,31
2019-09-22,46.0,39.0,39
2019-09-29,41.0,34.0,34
2019-10-06,39.0,33.0,33
2019-10-13,42.0,35.0,35
2019-10-20,39.0,33.0,33
2019-10-27,34.0,28.0,28
2019-11-03,48.0,40.0,40
2019-11-10,35.0,29.0,29
2019-11-17,40.0,34.0,34
2019-11-24,22.0,19.0,19
2019-12-01,73.0,61.0,61
2019-12-08,44.0,37.0,37
2019-12-15,35.0,30.0,30
2019-12-22,30.0,25.0,25
2019-12-29,39.0,32.0,32
2020-01-05,,44.0,44
2020-01-12,,36.0,36
2020-01-19,,31.0,31
2020-01-26,,31.0,31
2020-02-02,,40.0,40
2020-02-09,,33.0,33
2020-02-16,,33.0,33
2020-02-23,,35.0,35
2020-03-01,,30.0,30
2020-03-08,,33.0,33
2020-03-15,,60.0,60
2020-03-22,,55.0,55
2020-03-29,,100.0,100
2020-04-05,,74.0,74
2020-04-12,,79.0,79
2020-04-19,,72.0,72
2020-04-26,,66.0,66
2020-05-03,,66.0,66
2020-05-10,,63.0,63
2020-05-17,,67.0,67
2020-05-24,,46.0,46
2020-05-31,,51.0,51
2020-06-07,,47.0,47
2020-06-14,,45.0,45
2020-06-21,,47.0,47
2020-06-28,,54.0,54
2020-07-05,,48.0,48
2020-07-12,,53.0,53
2020-07-19,,45.0,45
2020-07-26,,45.0,45
2020-08-02,,54.0,54
2020-08-09,,57.0,57
2020-08-16,,42.0,42
2020-08-23,,39.0,39
2020-08-30,,40.0,40
2020-09-06,,47.0,47
2020-09-13,,43.0,43
2020-09-20,,36.0,36
2020-09-27,,40.0,40
2020-10-04,,46.0,46
2020-10-11,,51.0,51
2020-10-18,,59.0,59
2020-10-25,,49.0,49
2020-11-01,,38.0,38
2020-11-08,,50.0,50
2020-11-15,,45.0,45
2020-11-22,,43.0,43
2020-11-29,,44.0,44
2020-12-06,,52.0,52
2020-12-13,,46.0,46
2020-12-20,,45.0,45
2020-12-27,,58.0,58
2021-01-03,,,64
2021-01-10,,,54
2021-01-17,,,58
2021-01-24,,,56
2021-01-31,,,56
2021-02-07,,,58
2021-02-14,,,55
2021-02-21,,,45
2021-02-28,,,60
2021-03-07,,,59
2021-03-14,,,46
2021-03-21,,,43
2021-03-28,,,42
2021-04-04,,,51
2021-04-11,,,44
2021-04-18,,,42
2021-04-25,,,33
2021-05-02,,,50
2021-05-09,,,47
2021-05-16,,,45
2021-05-23,,,49
2021-05-30,,,54
2021-06-06,,,57
2021-06-13,,,52
2021-06-20,,,38
2021-06-27,,,49
2021-07-04,,,60
2021-07-11,,,51
2021-07-18,,,57
2021-07-25,,,51
2021-08-01,,,53
2021-08-08,,,54
2021-08-15,,,80
2021-08-22,,,48
2021-08-29,,,66
2021-09-05,,,74
2021-09-12,,,52
2021-09-19,,,55
2021-09-26,,,74
2021-10-03,,,62
2021-10-10,,,70
2021-10-17,,,83
2021-10-24,,,55
2021-10-31,,,72
2021-11-07,,,62
2021-11-14,,,62
2021-11-21,,,30
2021-11-28,,,66
2021-12-05,,,69
2021-12-12,,,51
2021-12-19,,,53
2021-12-26,,,49
