date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,Electronic Benefit Transfer,month,year,CountyName,State
2022-06-01,49.0,41.45,0.0,16.0,6,2022,waco temple bryan,TX
2022-07-01,40.0,50.95,0.0,22.0,7,2022,waco temple bryan,TX
2022-08-01,33.0,20.73,0.0,18.0,8,2022,waco temple bryan,TX
2022-09-01,39.0,20.73,0.0,12.0,9,2022,waco temple bryan,TX
2022-10-01,36.0,29.36,0.0,13.0,10,2022,waco temple bryan,TX
2022-11-01,35.0,35.41,0.0,11.0,11,2022,waco temple bryan,TX
2022-12-01,36.0,31.09,0.0,37.0,12,2022,waco temple bryan,TX
2023-01-01,33.0,17.71,0.0,23.0,1,2023,waco temple bryan,TX
2023-02-01,29.0,18.12,0.0,11.0,2,2023,waco temple bryan,TX
2023-03-01,30.0,18.94,0.0,5.0,3,2023,waco temple bryan,TX
2023-04-01,25.0,18.53,0.0,10.0,4,2023,waco temple bryan,TX
2023-05-01,30.0,19.76,0.0,12.0,5,2023,waco temple bryan,TX
2023-06-01,39.0,28.41,0.0,12.0,6,2023,waco temple bryan,TX
2023-07-01,35.0,27.59,0.0,10.0,7,2023,waco temple bryan,TX
2023-08-01,40.0,27.59,0.0,10.0,8,2023,waco temple bryan,TX
2023-09-01,31.0,22.24,0.0,9.0,9,2023,waco temple bryan,TX
2023-10-01,27.0,29.24,0.0,7.0,10,2023,waco temple bryan,TX
2023-11-01,24.0,29.24,0.0,8.0,11,2023,waco temple bryan,TX
2023-12-01,27.0,21.0,0.0,8.0,12,2023,waco temple bryan,TX
2024-01-01,28.0,20.18,0.0,6.0,1,2024,waco temple bryan,TX
2024-02-01,26.0,16.47,0.0,10.0,2,2024,waco temple bryan,TX
