date,Supplemntal Nutrition Assistance Program,Food bank,Soup kitchen,Electronic Benefit Transfer,month,year,CountyName,State
2018-01-01,28.0,0.0,0.0,23.0,1,2018,amarillo,TX
2018-02-01,29.0,13.5,0.0,9.0,2,2018,amarillo,TX
2018-03-01,50.0,33.0,0.0,36.0,3,2018,amarillo,TX
2018-04-01,45.0,29.0,9.5,0.0,4,2018,amarillo,TX
2018-05-01,72.0,36.0,0.0,0.0,5,2018,amarillo,TX
2018-06-01,79.0,36.0,0.0,0.0,6,2018,amarillo,TX
2018-07-01,49.0,0.0,34.0,0.0,7,2018,amarillo,TX
2018-08-01,57.0,0.0,0.0,0.0,8,2018,amarillo,TX
2018-09-01,54.0,24.0,0.0,23.0,9,2018,amarillo,TX
2018-10-01,47.0,24.0,48.0,24.0,10,2018,amarillo,TX
2018-11-01,54.0,0.0,0.0,24.0,11,2018,amarillo,TX
2018-12-01,53.0,0.0,0.0,47.0,12,2018,amarillo,TX
2019-01-01,106.74,0.0,0.0,29.0,1,2019,amarillo,TX
2019-02-01,29.21,30.0,24.0,34.5,2,2019,amarillo,TX
2019-03-01,13.48,0.0,0.0,0.0,3,2019,amarillo,TX
2019-04-01,35.96,0.0,0.0,0.0,4,2019,amarillo,TX
2019-05-01,32.58,0.0,0.0,0.0,5,2019,amarillo,TX
2019-06-01,25.84,41.0,0.0,32.0,6,2019,amarillo,TX
2019-07-01,67.42,32.0,23.0,19.0,7,2019,amarillo,TX
2019-08-01,14.61,0.0,0.0,0.0,8,2019,amarillo,TX
2019-09-01,29.21,0.0,0.0,8.0,9,2019,amarillo,TX
2019-10-01,20.22,31.0,0.0,0.0,10,2019,amarillo,TX
2019-11-01,32.58,31.0,0.0,0.0,11,2019,amarillo,TX
2019-12-01,46.41,0.0,0.0,0.0,12,2019,amarillo,TX
2020-01-01,37.86,0.0,0.0,0.0,1,2020,amarillo,TX
2020-02-01,36.64,35.11,0.0,0.0,2,2020,amarillo,TX
2020-03-01,70.84,53.19,0.0,14.75,3,2020,amarillo,TX
2020-04-01,83.05,35.11,0.0,16.39,4,2020,amarillo,TX
2020-05-01,76.94,35.11,0.0,42.62,5,2020,amarillo,TX
2020-06-01,85.49,0.0,0.0,77.05,6,2020,amarillo,TX
2020-07-01,68.39,38.3,0.0,59.02,7,2020,amarillo,TX
2020-08-01,43.97,0.0,0.0,40.98,8,2020,amarillo,TX
2020-09-01,58.62,28.72,0.0,59.02,9,2020,amarillo,TX
2020-10-01,50.07,34.04,0.0,59.02,10,2020,amarillo,TX
2020-11-01,62.29,0.0,0.0,60.66,11,2020,amarillo,TX
2020-12-01,54.96,0.0,0.0,31.15,12,2020,amarillo,TX
2021-01-01,84.55,39.0,0.0,23.8,1,2021,amarillo,TX
2021-02-01,82.67,0.0,11.27,71.39,2,2021,amarillo,TX
2021-03-01,82.67,0.0,0.0,50.24,3,2021,amarillo,TX
2021-04-01,82.67,0.0,0.0,60.81,4,2021,amarillo,TX
2021-05-01,75.16,41.0,0.0,50.24,5,2021,amarillo,TX
2021-06-01,69.52,0.0,0.0,111.05,6,2021,amarillo,TX
2021-07-01,80.79,0.0,0.0,68.75,7,2021,amarillo,TX
2021-08-01,120.25,0.0,0.0,89.9,8,2021,amarillo,TX
2021-09-01,67.64,0.0,0.0,52.88,9,2021,amarillo,TX
2021-10-01,48.85,0.0,0.0,63.46,10,2021,amarillo,TX
2021-11-01,60.13,0.0,0.0,68.75,11,2021,amarillo,TX
2021-12-01,60.13,0.0,0.0,40.0,12,2021,amarillo,TX
2022-01-01,49.0,0.0,0.0,23.0,1,2022,amarillo,TX
2022-02-01,34.0,0.0,0.0,7.0,2,2022,amarillo,TX
2022-03-01,39.0,0.0,0.0,17.0,3,2022,amarillo,TX
2022-04-01,41.0,31.0,0.0,17.0,4,2022,amarillo,TX
2022-05-01,49.0,38.0,0.0,20.0,5,2022,amarillo,TX
2022-06-01,50.0,38.0,0.0,15.0,6,2022,amarillo,TX
2022-07-01,51.0,0.0,0.0,11.0,7,2022,amarillo,TX
2022-08-01,41.0,21.0,18.07,19.0,8,2022,amarillo,TX
2022-09-01,44.0,0.0,18.86,20.0,9,2022,amarillo,TX
2022-10-01,43.0,0.0,0.0,27.0,10,2022,amarillo,TX
2022-11-01,36.0,22.0,0.0,17.0,11,2022,amarillo,TX
2022-12-01,36.0,25.0,0.0,28.0,12,2022,amarillo,TX
2023-01-01,39.0,44.79,0.0,22.0,1,2023,amarillo,TX
2023-02-01,33.0,33.59,0.0,19.0,2,2023,amarillo,TX
2023-03-01,25.0,46.66,0.0,13.0,3,2023,amarillo,TX
2023-04-01,28.0,44.79,0.0,13.0,4,2023,amarillo,TX
2023-05-01,46.0,46.66,0.0,10.0,5,2023,amarillo,TX
2023-06-01,31.0,55.99,0.0,10.0,6,2023,amarillo,TX
2023-07-01,31.0,100.78,0.0,13.0,7,2023,amarillo,TX
2023-08-01,49.0,82.12,0.0,8.0,8,2023,amarillo,TX
2023-09-01,42.0,0.0,0.0,17.0,9,2023,amarillo,TX
2023-10-01,36.0,0.0,0.0,13.0,10,2023,amarillo,TX
2023-11-01,39.0,69.06,0.0,9.0,11,2023,amarillo,TX
2023-12-01,34.0,59.72,0.0,13.0,12,2023,amarillo,TX
2024-01-01,21.0,93.32,0.0,9.0,1,2024,amarillo,TX
2024-02-01,11.0,93.32,0.0,6.0,2,2024,amarillo,TX
